,acc,prec,rec,f1,rules
ordered_laplace_3_7_2,0.9213483146067416,0.9252734877734877,0.921794183178165,0.9231946526736632,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Color intensity<=3.52 THEN Wine=2 
IF Flavanoids<=1.41 AND Proline>=470.0 THEN Wine=3 
IF Proline>=680.0 AND Magnesium>=100.0 THEN Wine=1 
IF Hue>=0.69 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_7_3,0.8932584269662921,0.902723436900652,0.8870719609559429,0.8931299262649377,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF Ash<=2.84 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_7_4,0.8932584269662921,0.902723436900652,0.8870719609559429,0.8931299262649377,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF Ash<=2.84 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_7_5,0.8932584269662921,0.902723436900652,0.8870719609559429,0.8931299262649377,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF Ash<=2.84 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_8_2,0.9269662921348315,0.9324029044241811,0.9264890188589162,0.9289719235551654,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Color intensity<=3.52 THEN Wine=2 
IF Flavanoids<=1.41 AND Proline>=470.0 THEN Wine=3 
IF Proline>=680.0 AND Magnesium>=100.0 THEN Wine=1 
IF Hue>=0.69 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_8_3,0.9044943820224719,0.91451860375911,0.8987112410811383,0.9048207475209763,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF TRUE THEN Wine=2 "
ordered_laplace_3_8_4,0.9044943820224719,0.91451860375911,0.8987112410811383,0.9048207475209763,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF TRUE THEN Wine=2 "
ordered_laplace_3_8_5,0.9044943820224719,0.91451860375911,0.8987112410811383,0.9048207475209763,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF TRUE THEN Wine=2 "
ordered_laplace_3_9_2,0.9269662921348315,0.9314345885774458,0.9287386276226095,0.9295409990790463,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Color intensity<=3.52 THEN Wine=2 
IF Flavanoids<=1.41 AND Proline>=470.0 THEN Wine=3 
IF Proline>=680.0 AND Magnesium>=100.0 THEN Wine=1 
IF Hue>=0.69 THEN Wine=2 
IF TRUE THEN Wine=2 "
ordered_laplace_3_9_3,0.9044943820224719,0.91451860375911,0.8987112410811383,0.9048207475209763,"IF Proline>=990.0 THEN Wine=1 
IF Color intensity<=3.85 AND Proline<=720.0 AND Flavanoids>=0.57 THEN Wine=2 
IF Hue<=0.82 AND Color intensity>=4.6 THEN Wine=3 
IF Alcohol<=12.84 AND Flavanoids>=1.02 THEN Wine=2 
IF Flavanoids>=2.41 AND Malic Acid>=1.68 THEN Wine=1 
IF Flavanoids<=1.3 AND Alcalinity of ash>=18.0 THEN Wine=3 
IF TRUE THEN Wine=2 "
