,acc,prec,rec,f1,rules
unordered_laplace_3_7_2,0.898876404494382,0.9124796631256579,0.892106641733641,0.8994968701536005,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=1015.0 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue>=0.82 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_7_3,0.8539325842696629,0.8656580958619937,0.8555028381210047,0.8592044239588038,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=1015.0 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue>=0.82 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_7_4,0.8539325842696629,0.8656580958619937,0.8555028381210047,0.8592044239588038,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=1015.0 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue>=0.82 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_7_5,0.8539325842696629,0.8656580958619937,0.8555028381210047,0.8592044239588038,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=1015.0 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue>=0.82 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_8_2,0.8539325842696629,0.8626135569531796,0.8468442481631787,0.8525811877125699,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=1015.0 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_8_3,0.8707865168539326,0.8838699900156897,0.8628385188721784,0.8704704869084915,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=735.0 AND Flavanoids>=2.19 AND Color intensity>=3.58 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_8_4,0.8707865168539326,0.8838699900156897,0.8628385188721784,0.8704704869084915,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=735.0 AND Flavanoids>=2.19 AND Color intensity>=3.58 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_8_5,0.8707865168539326,0.8838699900156897,0.8628385188721784,0.8704704869084915,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=735.0 AND Flavanoids>=2.19 AND Color intensity>=3.58 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Malic Acid>=2.96 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_9_2,0.8595505617977528,0.8873564816961044,0.84479025755285,0.8572441555238447,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=735.0 AND Flavanoids>=2.19 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Nonflavanoid phenols>=0.43 THEN Wine=3 
IF TRUE THEN Wine=2 "
unordered_laplace_3_9_3,0.8707865168539326,0.8940327219396987,0.8560896925810986,0.8673507172452174,"IF Proline>=760.0 AND Alcohol>=13.39 THEN Wine=1 
IF Proline>=735.0 AND Flavanoids>=2.19 AND Color intensity>=3.58 THEN Wine=1 
IF Color intensity<=3.52 AND Nonflavanoid phenols>=0.29 THEN Wine=2 
IF Proline<=470.0 AND Hue>=0.69 THEN Wine=2 
IF Alcohol<=12.45 AND Flavanoids>=0.99 THEN Wine=2 
IF Hue<=0.79 AND Color intensity>=4.0 THEN Wine=3 
IF Flavanoids<=0.99 AND Nonflavanoid phenols>=0.43 THEN Wine=3 
IF TRUE THEN Wine=2 "
